City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
94,Ornskoldsvik,63.2909,18.7153,16.75,92,11,6.91,SE,2022-01-31 05:12:37
95,Thompson,55.7435,-97.8558,-5.33,98,98,4.76,CA,2022-01-31 05:12:37
96,Hami,42.8,93.45,27.54,32,91,5.03,CN,2022-01-31 05:12:37
97,Padang,-0.9492,100.3543,84.25,63,82,4.81,ID,2022-01-31 05:12:38
98,Jumla,29.2747,82.1838,49.6,25,0,5.39,NP,2022-01-31 05:12:38
99,Upernavik,72.7868,-56.1549,-10.71,97,100,5.88,GL,2022-01-31 05:09:17
100,Lavrentiya,65.5833,-171.0,-9.04,93,14,4.03,RU,2022-01-31 05:04:20
101,Hervey Bay,-25.2986,152.8535,89.04,67,32,11.3,AU,2022-01-31 05:12:39
102,Mutoko,-17.397,32.2268,62.24,85,1,2.44,ZW,2022-01-31 05:12:39
103,Sao Joao Da Barra,-21.6403,-41.0511,74.64,93,94,6.64,BR,2022-01-31 05:12:39
104,Aklavik,68.2191,-135.0107,4.23,81,100,12.44,CA,2022-01-31 05:12:40
105,Guerrero Negro,27.9769,-114.0611,59.97,69,68,10.4,MX,2022-01-31 05:12:40
106,Constantine,36.365,6.6147,29.61,86,0,1.14,DZ,2022-01-31 05:12:40
107,Asau,46.4333,26.4,36.52,72,38,17.45,RO,2022-01-31 05:12:24
108,Castro,-24.7911,-50.0119,62.53,99,100,5.82,BR,2022-01-31 05:12:41
109,Avesta,60.1455,16.1679,23.72,80,0,5.7,SE,2022-01-31 05:12:41
110,Morondava,-20.2833,44.2833,81.66,70,0,5.75,MG,2022-01-31 05:12:42
111,Sao Gabriel Da Cachoeira,-0.1303,-67.0892,74.03,94,97,1.77,BR,2022-01-31 05:12:42
112,Grindavik,63.8424,-22.4338,28.87,74,75,16.11,IS,2022-01-31 05:09:28
113,Machhiwara,30.9147,76.1983,60.69,52,0,4.21,IN,2022-01-31 05:12:43
114,Lazaro Cardenas,17.9583,-102.2,73.76,74,0,3.94,MX,2022-01-31 05:12:43
115,Luderitz,-26.6481,15.1594,63.27,93,65,6.26,NA,2022-01-31 05:12:43
116,Butaritari,3.0707,172.7902,81.93,76,51,19.06,KI,2022-01-31 05:12:44
117,Carnarvon,-24.8667,113.6333,90.57,45,23,19.73,AU,2022-01-31 05:09:10
118,Garowe,8.4054,48.4845,70.61,65,100,8.03,SO,2022-01-31 05:12:44
119,Shenzhen,22.5455,114.0683,60.13,80,89,8.68,CN,2022-01-31 05:12:30
120,Linxia,35.6003,103.2064,19.76,69,99,1.21,CN,2022-01-31 05:12:45
121,Ndele,8.4109,20.6473,62.74,25,6,5.1,CF,2022-01-31 05:12:45
122,Loiza,18.4313,-65.8802,74.59,87,0,3.44,PR,2022-01-31 05:10:28
123,Brookings,44.3114,-96.7984,21.54,82,0,8.05,US,2022-01-31 05:08:05
124,Chuy,-33.6971,-53.4616,68.32,89,0,8.57,UY,2022-01-31 05:08:03
125,Camargo,27.6667,-105.1667,59.31,29,95,14.43,MX,2022-01-31 05:12:46
126,Redmond,47.674,-122.1215,43.56,82,100,5.01,US,2022-01-31 05:08:48
127,Tautira,-17.7333,-149.15,82.42,77,89,15.35,PF,2022-01-31 05:12:46
128,Zabid,14.1951,43.3152,74.16,69,74,4.74,YE,2022-01-31 05:12:47
129,Khatanga,71.9667,102.5,-6.12,99,98,7.14,RU,2022-01-31 05:09:21
130,Saldanha,-33.0117,17.9442,67.51,79,100,6.02,ZA,2022-01-31 05:12:47
131,Broken Hill,-31.95,141.4333,91.24,36,98,5.14,AU,2022-01-31 05:05:30
