City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Description,Country,Date
84,Arraial Do Cabo,-22.9661,-42.0278,75.38,91,100,9.24,overcast clouds,BR,2022-02-04 03:12:50
85,Constitucion,-35.3333,-72.4167,58.37,92,47,9.19,scattered clouds,CL,2022-02-04 03:10:17
86,Yellowknife,62.456,-114.3525,-28.44,73,33,5.01,scattered clouds,CA,2022-02-04 03:09:54
87,Morros,-9.4467,-46.3003,74.59,69,49,2.19,scattered clouds,BR,2022-02-04 03:15:03
88,Pangnirtung,66.1451,-65.7125,-13.88,99,100,4.03,light snow,CA,2022-02-04 03:15:04
89,Khatanga,71.9667,102.5,-32.01,100,90,4.41,overcast clouds,RU,2022-02-04 03:15:04
90,Kapaa,22.0752,-159.319,76.12,66,0,1.01,clear sky,US,2022-02-04 03:11:52
91,Castro,-24.7911,-50.0119,64.47,98,100,5.01,overcast clouds,BR,2022-02-04 03:16:05
92,San Cristobal,7.7669,-72.225,73.58,65,84,1.07,broken clouds,VE,2022-02-04 03:16:05
93,Mandera,3.9366,41.867,76.01,37,84,6.33,broken clouds,KE,2022-02-04 03:16:05
94,Magdagachi,53.45,125.8,2.41,56,70,8.88,broken clouds,RU,2022-02-04 03:16:06
95,Naryan-Mar,67.6713,53.087,3.87,97,100,3.51,overcast clouds,RU,2022-02-04 03:16:06
96,Port Hedland,-20.3167,118.5667,93.25,46,84,14.97,broken clouds,AU,2022-02-04 03:12:23
97,Kysyl-Syr,63.8986,122.7617,-19.93,98,65,3.98,broken clouds,RU,2022-02-04 03:16:06
98,Tautira,-17.7333,-149.15,87.82,77,44,15.17,light rain,PF,2022-02-04 03:16:07
99,Indiana,40.0003,-86.2503,21.58,90,100,16.11,snow,US,2022-02-04 03:12:54
100,Roma,43.2128,-75.4557,29.95,92,100,4.61,snow,US,2022-02-04 03:12:37
101,Soyo,-6.1349,12.3689,77.02,75,95,3.36,overcast clouds,AO,2022-02-04 03:16:08
102,Olafsvik,64.8945,-23.7142,27.7,74,96,28.03,overcast clouds,IS,2022-02-04 03:15:40
103,Gushikawa,26.3544,127.8686,62.19,90,75,14.97,broken clouds,JP,2022-02-04 03:11:13
104,Bilma,18.6853,12.9164,51.42,32,0,12.08,clear sky,NE,2022-02-04 03:16:08
105,Katsuura,35.1333,140.3,42.91,71,100,10.6,overcast clouds,JP,2022-02-04 03:15:54
106,Gerash,27.6652,54.1371,39.34,36,0,1.28,clear sky,IR,2022-02-04 03:16:09
107,Charters Towers,-20.1,146.2667,77.86,69,100,13.78,overcast clouds,AU,2022-02-04 03:16:09
108,Hofn,64.2539,-15.2082,28.96,57,100,20.58,overcast clouds,IS,2022-02-04 03:16:10
109,Longyearbyen,78.2186,15.6401,15.64,73,75,6.91,broken clouds,SJ,2022-02-04 03:13:37
110,Rikitea,-23.1203,-134.9692,78.08,74,100,18.41,overcast clouds,PF,2022-02-04 03:10:00
111,Bubaque,11.2833,-15.8333,77.11,71,0,7.07,clear sky,GW,2022-02-04 03:12:14
112,Jaca,42.569,-0.5499,32.2,64,92,3.65,overcast clouds,ES,2022-02-04 03:16:10
113,Matara,5.9485,80.5353,78.44,72,5,4.18,clear sky,LK,2022-02-04 03:16:11
114,Naze,28.3667,129.4833,54.52,74,100,16.96,overcast clouds,JP,2022-02-04 03:16:11
115,Souillac,-20.5167,57.5167,80.37,87,100,17.09,light rain,MU,2022-02-04 03:14:04
116,Fairbanks,64.8378,-147.7164,0.48,53,0,8.05,clear sky,US,2022-02-04 03:16:11
